SowTreat	Cultivar	Block 	SowTreat	Plot 	SowingDate	ReadingDate 	DAS 	Unifoliate	Trifoliate
S1	Woogenellup	1	S1	6	24/06/15	28/08/15	65.00	3	7
S1	Antas 	2	S1	7	24/06/15	28/08/15	65.00	3	7
S1	Woogenellup	2	S1	8	24/06/15	28/08/15	65.00	2	8
S1	Denmark	2	S1	9	24/06/15	28/08/15	65.00	3	7
S1	Monti	2	S1	10	24/06/15	28/08/15	65.00	2	6
S1	Narrikup	2	S1	11	24/06/15	28/08/15	65.00	4	7
S1	Leura	2	S1	12	24/06/15	28/08/15	65.00	3	7
S1	Woogenellup	3	S1	13	24/06/15	28/08/15	65.00	3	7
S1	Antas 	3	S1	14	24/06/15	28/08/15	65.00	1	9
S1	Monti	3	S1	15	24/06/15	28/08/15	65.00	2	8
S1	Narrikup	3	S1	16	24/06/15	28/08/15	65.00	3	7
S1	Denmark	3	S1	17	24/06/15	28/08/15	65.00	1	9
S1	Leura	3	S1	18	24/06/15	28/08/15	65.00	3	7
S1	Antas 	1	S1	1	24/06/15	2/09/15	70.00	2	8
S1	Monti	1	S1	2	24/06/15	2/09/15	70.00	2	8
S1	Denmark	1	S1	3	24/06/15	2/09/15	70.00	0	10
S1	Leura	1	S1	4	24/06/15	2/09/15	70.00	2	8
S1	Narrikup	1	S1	5	24/06/15	2/09/15	70.00	1	9
S1	Woogenellup	1	S1	6	24/06/15	2/09/15	70.00	1	9
S1	Antas 	2	S1	7	24/06/15	2/09/15	70.00	2	8
S1	Woogenellup	2	S1	8	24/06/15	2/09/15	70.00	0	10
S1	Denmark	2	S1	9	24/06/15	2/09/15	70.00	1	9
S1	Monti	2	S1	10	24/06/15	2/09/15	70.00	2	8
S1	Narrikup	2	S1	11	24/06/15	2/09/15	70.00	0	10
S1	Leura	2	S1	12	24/06/15	2/09/15	70.00	1	9
S1	Woogenellup	3	S1	13	24/06/15	2/09/15	70.00	0	10
S1	Antas 	3	S1	14	24/06/15	2/09/15	70.00	0	10
S1	Monti	3	S1	15	24/06/15	2/09/15	70.00	1	9
S1	Narrikup	3	S1	16	24/06/15	2/09/15	70.00	0	10
S1	Denmark	3	S1	17	24/06/15	2/09/15	70.00	0	10
S1	Leura	3	S1	18	24/06/15	2/09/15	70.00	1	9
S1	Antas 	1	S1	1	24/06/15	4/09/15	72.00	2	10
S1	Monti	1	S1	2	24/06/15	4/09/15	72.00	2	10
S1	Denmark	1	S1	3	24/06/15	4/09/15	72.00	0	10
S1	Leura	1	S1	4	24/06/15	4/09/15	72.00	2	10
S1	Narrikup	1	S1	5	24/06/15	4/09/15	72.00	1	10
S1	Woogenellup	1	S1	6	24/06/15	4/09/15	72.00	1	10
S1	Antas 	2	S1	7	24/06/15	4/09/15	72.00	2	10
S1	Woogenellup	2	S1	8	24/06/15	4/09/15	72.00	0	10
S1	Denmark	2	S1	9	24/06/15	4/09/15	72.00	1	10
S1	Monti	2	S1	10	24/06/15	4/09/15	72.00	2	10
S1	Narrikup	2	S1	11	24/06/15	4/09/15	72.00	0	10
S1	Leura	2	S1	12	24/06/15	4/09/15	72.00	1	10
S1	Woogenellup	3	S1	13	24/06/15	4/09/15	72.00	0	10
S1	Antas 	3	S1	14	24/06/15	4/09/15	72.00	0	10
S1	Monti	3	S1	15	24/06/15	4/09/15	72.00	1	10
S1	Narrikup	3	S1	16	24/06/15	4/09/15	72.00	0	10
S1	Denmark	3	S1	17	24/06/15	4/09/15	72.00	0	10
S1	Leura	3	S1	18	24/06/15	4/09/15	72.00	1	10
S2	Narrikup	1	S2	19	28/07/15	28/07/15	0.00	0	0
S2	Monti	1	S2	20	28/07/15	28/07/15	0.00	0	0
S2	Woogenellup	1	S2	21	28/07/15	28/07/15	0.00	0	0
S2	Leura	1	S2	22	28/07/15	28/07/15	0.00	0	0
S2	Denmark	1	S2	23	28/07/15	28/07/15	0.00	0	0
S2	Antas 	1	S2	24	28/07/15	28/07/15	0.00	0	0
S2	Leura	2	S2	25	28/07/15	28/07/15	0.00	0	0
S2	Woogenellup	2	S2	26	28/07/15	28/07/15	0.00	0	0
S2	Denmark	2	S2	27	28/07/15	28/07/15	0.00	0	0
S2	Narrikup	2	S2	28	28/07/15	28/07/15	0.00	0	0
S2	Antas 	2	S2	29	28/07/15	28/07/15	0.00	0	0
S2	Monti	2	S2	30	28/07/15	28/07/15	0.00	0	0
S2	Denmark	3	S2	31	28/07/15	28/07/15	0.00	0	0
S2	Antas 	3	S2	32	28/07/15	28/07/15	0.00	0	0
S2	Monti	3	S2	33	28/07/15	28/07/15	0.00	0	0
S2	Woogenellup	3	S2	34	28/07/15	28/07/15	0.00	0	0
S2	Leura	3	S2	35	28/07/15	28/07/15	0.00	0	0
S2	Narrikup	3	S2	36	28/07/15	28/07/15	0.00	0	0
S2	Narrikup	1	S2	19	28/07/15	10/09/15	44.00	8	2
S2	Monti	1	S2	20	28/07/15	10/09/15	44.00	7	3
S2	Woogenellup	1	S2	21	28/07/15	10/09/15	44.00	3	7
S2	Leura	1	S2	22	28/07/15	10/09/15	44.00	2	8
S2	Denmark	1	S2	23	28/07/15	10/09/15	44.00	7	3
S2	Antas 	1	S2	24	28/07/15	10/09/15	44.00	0	6
S2	Leura	2	S2	25	28/07/15	10/09/15	44.00	5	5
S2	Woogenellup	2	S2	26	28/07/15	10/09/15	44.00	1	9
S2	Denmark	2	S2	27	28/07/15	10/09/15	44.00	7	3
S2	Narrikup	2	S2	28	28/07/15	10/09/15	44.00	2	8
S2	Antas 	2	S2	29	28/07/15	10/09/15	44.00	1	9
S2	Monti	2	S2	30	28/07/15	10/09/15	44.00	4	6
S2	Denmark	3	S2	31	28/07/15	10/09/15	44.00	5	5
S2	Antas 	3	S2	32	28/07/15	10/09/15	44.00	7	3
S2	Monti	3	S2	33	28/07/15	10/09/15	44.00	8	2
S2	Woogenellup	3	S2	34	28/07/15	10/09/15	44.00	7	3
S2	Leura	3	S2	35	28/07/15	10/09/15	44.00	8	2
S2	Narrikup	3	S2	36	28/07/15	10/09/15	44.00	8	2
S2	Narrikup	1	S2	19	28/07/15	14/09/15	48.00	2	8
S2	Monti	1	S2	20	28/07/15	14/09/15	48.00	1	9
S2	Woogenellup	1	S2	21	28/07/15	14/09/15	48.00	0	10
S2	Leura	1	S2	22	28/07/15	14/09/15	48.00	0	10
S2	Denmark	1	S2	23	28/07/15	14/09/15	48.00	1	9
S2	Antas 	1	S2	24	28/07/15	14/09/15	48.00	2	8
S2	Leura	2	S2	25	28/07/15	14/09/15	48.00	2	8
S2	Woogenellup	2	S2	26	28/07/15	14/09/15	48.00	0	10
S2	Denmark	2	S2	27	28/07/15	14/09/15	48.00	0	10
S2	Narrikup	2	S2	28	28/07/15	14/09/15	48.00	1	9
S2	Antas 	2	S2	29	28/07/15	14/09/15	48.00	1	9
S2	Monti	2	S2	30	28/07/15	14/09/15	48.00	0	10
S2	Denmark	3	S2	31	28/07/15	14/09/15	48.00	1	9
S2	Antas 	3	S2	32	28/07/15	14/09/15	48.00	2	8
S2	Monti	3	S2	33	28/07/15	14/09/15	48.00	3	7
S2	Woogenellup	3	S2	34	28/07/15	14/09/15	48.00	2	8
S2	Leura	3	S2	35	28/07/15	14/09/15	48.00	2	8
S2	Narrikup	3	S2	36	28/07/15	14/09/15	48.00	0	10
S3	Denmark	1	S3	37	15/09/15	15/09/15	0.00	0	0
S3	Antas 	1	S3	38	15/09/15	15/09/15	0.00	0	0
S3	Woogenellup	1	S3	39	15/09/15	15/09/15	0.00	0	0
S3	Leura	1	S3	40	15/09/15	15/09/15	0.00	0	0
S3	Narrikup	1	S3	41	15/09/15	15/09/15	0.00	0	0
S3	Monti	1	S3	42	15/09/15	15/09/15	0.00	0	0
S3	Woogenellup	2	S3	43	15/09/15	15/09/15	0.00	0	0
S3	Leura	2	S3	44	15/09/15	15/09/15	0.00	0	0
S3	Narrikup	2	S3	45	15/09/15	15/09/15	0.00	0	0
S3	Antas 	2	S3	46	15/09/15	15/09/15	0.00	0	0
S3	Denmark	2	S3	47	15/09/15	15/09/15	0.00	0	0
S3	Monti	2	S3	48	15/09/15	15/09/15	0.00	0	0
S3	Leura	3	S3	49	15/09/15	15/09/15	0.00	0	0
S3	Woogenellup	3	S3	50	15/09/15	15/09/15	0.00	0	0
S3	Antas 	3	S3	51	15/09/15	15/09/15	0.00	0	0
S3	Monti	3	S3	52	15/09/15	15/09/15	0.00	0	0
S3	Narrikup	3	S3	53	15/09/15	15/09/15	0.00	0	0
S3	Denmark	3	S3	54	15/09/15	15/09/15	0.00	0	0
S2	Narrikup	1	S2	19	28/07/15	16/09/15	50.00	10	10
S2	Monti	1	S2	20	28/07/15	16/09/15	50.00	10	10
S2	Woogenellup	1	S2	21	28/07/15	16/09/15	50.00	10	10
S2	Leura	1	S2	22	28/07/15	16/09/15	50.00	10	10
S2	Denmark	1	S2	23	28/07/15	16/09/15	50.00	10	10
S2	Antas 	1	S2	24	28/07/15	16/09/15	50.00	10	10
S2	Leura	2	S2	25	28/07/15	16/09/15	50.00	10	10
S2	Woogenellup	2	S2	26	28/07/15	16/09/15	50.00	10	10
S2	Denmark	2	S2	27	28/07/15	16/09/15	50.00	10	10
S2	Narrikup	2	S2	28	28/07/15	16/09/15	50.00	10	10
S2	Antas 	2	S2	29	28/07/15	16/09/15	50.00	10	10
S2	Monti	2	S2	30	28/07/15	16/09/15	50.00	10	10
S2	Denmark	3	S2	31	28/07/15	16/09/15	50.00	10	10
S2	Antas 	3	S2	32	28/07/15	16/09/15	50.00	10	10
S2	Monti	3	S2	33	28/07/15	16/09/15	50.00	10	10
S2	Woogenellup	3	S2	34	28/07/15	16/09/15	50.00	10	10
S2	Leura	3	S2	35	28/07/15	16/09/15	50.00	10	10
S2	Narrikup	3	S2	36	28/07/15	16/09/15	50.00	10	10
S3	Denmark	1	S3	37	15/09/15	8/10/15	23.00	10	0
S3	Antas 	1	S3	38	15/09/15	8/10/15	23.00	10	0
S3	Woogenellup	1	S3	39	15/09/15	8/10/15	23.00	10	0
S3	Leura	1	S3	40	15/09/15	8/10/15	23.00	10	0
S3	Narrikup	1	S3	41	15/09/15	8/10/15	23.00	10	0
S3	Monti	1	S3	42	15/09/15	8/10/15	23.00	10	0
S3	Woogenellup	2	S3	43	15/09/15	8/10/15	23.00	3	7
S3	Leura	2	S3	44	15/09/15	8/10/15	23.00	1	9
S3	Narrikup	2	S3	45	15/09/15	8/10/15	23.00	2	8
S3	Antas 	2	S3	46	15/09/15	8/10/15	23.00	1	9
S3	Denmark	2	S3	47	15/09/15	8/10/15	23.00	4	6
S3	Monti	2	S3	48	15/09/15	8/10/15	23.00	2	8
S3	Leura	3	S3	49	15/09/15	8/10/15	23.00	10	0
S3	Woogenellup	3	S3	50	15/09/15	8/10/15	23.00	10	0
S3	Antas 	3	S3	51	15/09/15	8/10/15	23.00	10	0
S3	Monti	3	S3	52	15/09/15	8/10/15	23.00	10	0
S3	Narrikup	3	S3	53	15/09/15	8/10/15	23.00	10	0
S3	Denmark	3	S3	54	15/09/15	8/10/15	23.00	10	0
S3	Denmark	1	S3	37	15/09/15	16/10/15	31.00	0	10
S3	Antas 	1	S3	38	15/09/15	16/10/15	31.00	0	10
S3	Woogenellup	1	S3	39	15/09/15	16/10/15	31.00	0	10
S3	Leura	1	S3	40	15/09/15	16/10/15	31.00	1	9
S3	Narrikup	1	S3	41	15/09/15	16/10/15	31.00	0	10
S3	Monti	1	S3	42	15/09/15	16/10/15	31.00	0	10
S3	Woogenellup	2	S3	43	15/09/15	16/10/15	31.00	0	10
S3	Leura	2	S3	44	15/09/15	16/10/15	31.00	0	10
S3	Narrikup	2	S3	45	15/09/15	16/10/15	31.00	0	10
S3	Antas 	2	S3	46	15/09/15	16/10/15	31.00	0	10
S3	Denmark	2	S3	47	15/09/15	16/10/15	31.00	0	10
S3	Monti	2	S3	48	15/09/15	16/10/15	31.00	0	10
S3	Leura	3	S3	49	15/09/15	16/10/15	31.00	0	10
S3	Woogenellup	3	S3	50	15/09/15	16/10/15	31.00	0	10
S3	Antas 	3	S3	51	15/09/15	16/10/15	31.00	0	10
S3	Monti	3	S3	52	15/09/15	16/10/15	31.00	0	10
S3	Narrikup	3	S3	53	15/09/15	16/10/15	31.00	0	10
S3	Denmark	3	S3	54	15/09/15	16/10/15	31.00	0	10
S3	Denmark	1	S3	37	15/09/15	16/11/15	62.00	0	10
S3	Antas 	1	S3	38	15/09/15	16/11/15	62.00	0	10
S3	Woogenellup	1	S3	39	15/09/15	16/11/15	62.00	0	10
S3	Leura	1	S3	40	15/09/15	16/11/15	62.00	0	10
S3	Narrikup	1	S3	41	15/09/15	16/11/15	62.00	0	10
S3	Monti	1	S3	42	15/09/15	16/11/15	62.00	0	10
S3	Woogenellup	2	S3	43	15/09/15	16/11/15	62.00	0	10
S3	Leura	2	S3	44	15/09/15	16/11/15	62.00	0	10
S3	Narrikup	2	S3	45	15/09/15	16/11/15	62.00	0	10
S3	Antas 	2	S3	46	15/09/15	16/11/15	62.00	0	10
S3	Denmark	2	S3	47	15/09/15	16/11/15	62.00	0	10
S3	Monti	2	S3	48	15/09/15	16/11/15	62.00	0	10
S3	Leura	3	S3	49	15/09/15	16/11/15	62.00	0	10
S3	Woogenellup	3	S3	50	15/09/15	16/11/15	62.00	0	10
S3	Antas 	3	S3	51	15/09/15	16/11/15	62.00	0	10
S3	Monti	3	S3	52	15/09/15	16/11/15	62.00	0	10
S3	Narrikup	3	S3	53	15/09/15	16/11/15	62.00	0	10
S3	Denmark	3	S3	54	15/09/15	16/11/15	62.00	0	10
S4	Narrikup	1	S4	55	5/11/15	5/11/15	0.00	0	0
S4	Antas 	1	S4	56	5/11/15	5/11/15	0.00	0	0
S4	Denmark	1	S4	57	5/11/15	5/11/15	0.00	0	0
S4	Leura	1	S4	58	5/11/15	5/11/15	0.00	0	0
S4	Monti	1	S4	59	5/11/15	5/11/15	0.00	0	0
S4	Woogenellup	1	S4	60	5/11/15	5/11/15	0.00	0	0
S4	Antas 	2	S4	61	5/11/15	5/11/15	0.00	0	0
S4	Woogenellup	2	S4	62	5/11/15	5/11/15	0.00	0	0
S4	Narrikup	2	S4	63	5/11/15	5/11/15	0.00	0	0
S4	Leura	2	S4	64	5/11/15	5/11/15	0.00	0	0
S4	Denmark	2	S4	65	5/11/15	5/11/15	0.00	0	0
S4	Monti	2	S4	66	5/11/15	5/11/15	0.00	0	0
S4	Leura	3	S4	67	5/11/15	5/11/15	0.00	0	0
S4	Monti	3	S4	68	5/11/15	5/11/15	0.00	0	0
S4	Narrikup	3	S4	69	5/11/15	5/11/15	0.00	0	0
S4	Antas 	3	S4	70	5/11/15	5/11/15	0.00	0	0
S4	Woogenellup	3	S4	71	5/11/15	5/11/15	0.00	0	0
S4	Denmark	3	S4	72	5/11/15	5/11/15	0.00	0	0
S4	Narrikup	1	S4	55	5/11/15	23/11/15	18.00	5	0
S4	Antas 	1	S4	56	5/11/15	23/11/15	18.00	6	0
S4	Denmark	1	S4	57	5/11/15	23/11/15	18.00	4	0
S4	Leura	1	S4	58	5/11/15	23/11/15	18.00	6	0
S4	Monti	1	S4	59	5/11/15	23/11/15	18.00	4	0
S4	Woogenellup	1	S4	60	5/11/15	23/11/15	18.00	6	0
S4	Antas 	2	S4	61	5/11/15	23/11/15	18.00	9	0
S4	Woogenellup	2	S4	62	5/11/15	23/11/15	18.00	8	0
S4	Narrikup	2	S4	63	5/11/15	23/11/15	18.00	8	0
S4	Leura	2	S4	64	5/11/15	23/11/15	18.00	8	0
S4	Denmark	2	S4	65	5/11/15	23/11/15	18.00	7	3
S4	Monti	2	S4	66	5/11/15	23/11/15	18.00	6	0
S4	Leura	3	S4	67	5/11/15	23/11/15	18.00	7	4
S4	Monti	3	S4	68	5/11/15	23/11/15	18.00	9	5
S4	Narrikup	3	S4	69	5/11/15	23/11/15	18.00	8	5
S4	Antas 	3	S4	70	5/11/15	23/11/15	18.00	7	1
S4	Woogenellup	3	S4	71	5/11/15	23/11/15	18.00	8	3
S4	Denmark	3	S4	72	5/11/15	23/11/15	18.00	9	4
S4	Narrikup	1	S4	55	5/11/15	8/12/15	33.00	10	10
S4	Antas 	1	S4	56	5/11/15	8/12/15	33.00	10	6
S4	Denmark	1	S4	57	5/11/15	8/12/15	33.00	10	8
S4	Leura	1	S4	58	5/11/15	8/12/15	33.00	10	9
S4	Monti	1	S4	59	5/11/15	8/12/15	33.00	10	8
S4	Woogenellup	1	S4	60	5/11/15	8/12/15	33.00	10	7
S4	Antas 	2	S4	61	5/11/15	8/12/15	33.00	10	9
S4	Woogenellup	2	S4	62	5/11/15	8/12/15	33.00	10	4
S4	Narrikup	2	S4	63	5/11/15	8/12/15	33.00	10	10
S4	Leura	2	S4	64	5/11/15	8/12/15	33.00	10	6
S4	Denmark	2	S4	65	5/11/15	8/12/15	33.00	10	9
S4	Monti	2	S4	66	5/11/15	8/12/15	33.00	10	8
S4	Leura	3	S4	67	5/11/15	8/12/15	33.00	10	8
S4	Monti	3	S4	68	5/11/15	8/12/15	33.00	10	10
S4	Narrikup	3	S4	69	5/11/15	8/12/15	33.00	10	10
S4	Antas 	3	S4	70	5/11/15	8/12/15	33.00	10	10
S4	Woogenellup	3	S4	71	5/11/15	8/12/15	33.00	10	10
S4	Denmark	3	S4	72	5/11/15	8/12/15	33.00	10	10
S4	Narrikup	1	S4	55	5/11/15	15/12/15	40.00	10	10
S4	Antas 	1	S4	56	5/11/15	15/12/15	40.00	10	10
S4	Denmark	1	S4	57	5/11/15	15/12/15	40.00	10	10
S4	Leura	1	S4	58	5/11/15	15/12/15	40.00	10	10
S4	Monti	1	S4	59	5/11/15	15/12/15	40.00	10	10
S4	Woogenellup	1	S4	60	5/11/15	15/12/15	40.00	10	10
S4	Antas 	2	S4	61	5/11/15	15/12/15	40.00	10	10
S4	Woogenellup	2	S4	62	5/11/15	15/12/15	40.00	10	10
S4	Narrikup	2	S4	63	5/11/15	15/12/15	40.00	10	10
S4	Leura	2	S4	64	5/11/15	15/12/15	40.00	10	10
S4	Denmark	2	S4	65	5/11/15	15/12/15	40.00	10	10
S4	Monti	2	S4	66	5/11/15	15/12/15	40.00	10	10
S4	Leura	3	S4	67	5/11/15	15/12/15	40.00	10	10
S4	Monti	3	S4	68	5/11/15	15/12/15	40.00	10	10
S4	Narrikup	3	S4	69	5/11/15	15/12/15	40.00	10	10
S4	Antas 	3	S4	70	5/11/15	15/12/15	40.00	10	10
S4	Woogenellup	3	S4	71	5/11/15	15/12/15	40.00	10	10
S4	Denmark	3	S4	72	5/11/15	15/12/15	40.00	10	10
S5	Woogenellup	1	S5	73	15/12/15	15/12/15	0.00	0	0
S5	Leura	1	S5	74	15/12/15	15/12/15	0.00	0	0
S5	Antas 	1	S5	75	15/12/15	15/12/15	0.00	0	0
S5	Narrikup	1	S5	76	15/12/15	15/12/15	0.00	0	0
S5	Monti	1	S5	77	15/12/15	15/12/15	0.00	0	0
S5	Denmark	1	S5	78	15/12/15	15/12/15	0.00	0	0
S5	Denmark	2	S5	79	15/12/15	15/12/15	0.00	0	0
S5	Monti	2	S5	80	15/12/15	15/12/15	0.00	0	0
S5	Leura	2	S5	81	15/12/15	15/12/15	0.00	0	0
S5	Woogenellup	2	S5	82	15/12/15	15/12/15	0.00	0	0
S5	Antas 	2	S5	83	15/12/15	15/12/15	0.00	0	0
S5	Narrikup	2	S5	84	15/12/15	15/12/15	0.00	0	0
S5	Leura	3	S5	85	15/12/15	15/12/15	0.00	0	0
S5	Antas 	3	S5	86	15/12/15	15/12/15	0.00	0	0
S5	Monti	3	S5	87	15/12/15	15/12/15	0.00	0	0
S5	Denmark	3	S5	88	15/12/15	15/12/15	0.00	0	0
S5	Narrikup	3	S5	89	15/12/15	15/12/15	0.00	0	0
S5	Woogenellup	3	S5	90	15/12/15	15/12/15	0.00	0	0
S5	Woogenellup	1	S5	73	15/12/15	27/12/15	12.00	8	0
S5	Leura	1	S5	74	15/12/15	27/12/15	12.00	9	0
S5	Antas 	1	S5	75	15/12/15	27/12/15	12.00	10	0
S5	Narrikup	1	S5	76	15/12/15	27/12/15	12.00	9	0
S5	Monti	1	S5	77	15/12/15	27/12/15	12.00	9	4
S5	Denmark	1	S5	78	15/12/15	27/12/15	12.00	9	0
S5	Denmark	2	S5	79	15/12/15	27/12/15	12.00	10	0
S5	Monti	2	S5	80	15/12/15	27/12/15	12.00	10	3
S5	Leura	2	S5	81	15/12/15	27/12/15	12.00	9	0
S5	Woogenellup	2	S5	82	15/12/15	27/12/15	12.00	10	1
S5	Antas 	2	S5	83	15/12/15	27/12/15	12.00	10	0
S5	Narrikup	2	S5	84	15/12/15	27/12/15	12.00	10	0
S5	Leura	3	S5	85	15/12/15	27/12/15	12.00	10	0
S5	Antas 	3	S5	86	15/12/15	27/12/15	12.00	10	0
S5	Monti	3	S5	87	15/12/15	27/12/15	12.00	8	1
S5	Denmark	3	S5	88	15/12/15	27/12/15	12.00	10	0
S5	Narrikup	3	S5	89	15/12/15	27/12/15	12.00	10	0
S5	Woogenellup	3	S5	90	15/12/15	27/12/15	12.00	8	0
S5	Woogenellup	1	S5	73	15/12/15	29/12/15	14.00	10	4
S5	Leura	1	S5	74	15/12/15	29/12/15	14.00	10	3
S5	Antas 	1	S5	75	15/12/15	29/12/15	14.00	10	3
S5	Narrikup	1	S5	76	15/12/15	29/12/15	14.00	10	1
S5	Monti	1	S5	77	15/12/15	29/12/15	14.00	10	6
S5	Denmark	1	S5	78	15/12/15	29/12/15	14.00	9	0
S5	Denmark	2	S5	79	15/12/15	29/12/15	14.00	10	3
S5	Monti	2	S5	80	15/12/15	29/12/15	14.00	10	8
S5	Leura	2	S5	81	15/12/15	29/12/15	14.00	10	6
S5	Woogenellup	2	S5	82	15/12/15	29/12/15	14.00	10	5
S5	Antas 	2	S5	83	15/12/15	29/12/15	14.00	10	4
S5	Narrikup	2	S5	84	15/12/15	29/12/15	14.00	10	7
S5	Leura	3	S5	85	15/12/15	29/12/15	14.00	10	8
S5	Antas 	3	S5	86	15/12/15	29/12/15	14.00	10	10
S5	Monti	3	S5	87	15/12/15	29/12/15	14.00	10	10
S5	Denmark	3	S5	88	15/12/15	29/12/15	14.00	10	7
S5	Narrikup	3	S5	89	15/12/15	29/12/15	14.00	10	6
S5	Woogenellup	3	S5	90	15/12/15	29/12/15	14.00	10	6
S5	Woogenellup	1	S5	73	15/12/15	4/01/16	20.00	10	10
S5	Leura	1	S5	74	15/12/15	4/01/16	20.00	10	10
S5	Antas 	1	S5	75	15/12/15	4/01/16	20.00	10	10
S5	Narrikup	1	S5	76	15/12/15	4/01/16	20.00	10	10
S5	Monti	1	S5	77	15/12/15	4/01/16	20.00	10	10
S5	Denmark	1	S5	78	15/12/15	4/01/16	20.00	10	10
S5	Denmark	2	S5	79	15/12/15	4/01/16	20.00	10	10
S5	Monti	2	S5	80	15/12/15	4/01/16	20.00	10	10
S5	Leura	2	S5	81	15/12/15	4/01/16	20.00	10	10
S5	Woogenellup	2	S5	82	15/12/15	4/01/16	20.00	10	10
S5	Antas 	2	S5	83	15/12/15	4/01/16	20.00	10	10
S5	Narrikup	2	S5	84	15/12/15	4/01/16	20.00	10	10
S5	Leura	3	S5	85	15/12/15	4/01/16	20.00	10	10
S5	Antas 	3	S5	86	15/12/15	4/01/16	20.00	10	10
S5	Monti	3	S5	87	15/12/15	4/01/16	20.00	10	10
S5	Denmark	3	S5	88	15/12/15	4/01/16	20.00	10	10
S5	Narrikup	3	S5	89	15/12/15	4/01/16	20.00	10	10
S5	Woogenellup	3	S5	90	15/12/15	4/01/16	20.00	10	10
S5	Woogenellup	1	S5	73	15/12/15	8/01/16	24.00	10	10
S5	Leura	1	S5	74	15/12/15	8/01/16	24.00	10	10
S5	Antas 	1	S5	75	15/12/15	8/01/16	24.00	10	10
S5	Narrikup	1	S5	76	15/12/15	8/01/16	24.00	10	10
S5	Monti	1	S5	77	15/12/15	8/01/16	24.00	10	10
S5	Denmark	1	S5	78	15/12/15	8/01/16	24.00	10	10
S5	Denmark	2	S5	79	15/12/15	8/01/16	24.00	10	10
S5	Monti	2	S5	80	15/12/15	8/01/16	24.00	10	10
S5	Leura	2	S5	81	15/12/15	8/01/16	24.00	10	10
S5	Woogenellup	2	S5	82	15/12/15	8/01/16	24.00	10	10
S5	Antas 	2	S5	83	15/12/15	8/01/16	24.00	10	10
S5	Narrikup	2	S5	84	15/12/15	8/01/16	24.00	10	10
S5	Leura	3	S5	85	15/12/15	8/01/16	24.00	10	10
S5	Antas 	3	S5	86	15/12/15	8/01/16	24.00	10	10
S5	Monti	3	S5	87	15/12/15	8/01/16	24.00	10	10
S5	Denmark	3	S5	88	15/12/15	8/01/16	24.00	10	10
