Cultivar	Block 	SowTreat	PlotNumber 	SowingD	ReadingDate 	DAS 	NumberPlantsUnifoliate(outof10)	NumberPlantsFirstTrifoliate
Leura	2	S1	12	24/06/2015	19/08/2015	56.00	4	6
Woogenellup	3	S1	13	24/06/2015	19/08/2015	56.00	4	6
Antas 	3	S1	14	24/06/2015	19/08/2015	56.00	2	8
Monti	3	S1	15	24/06/2015	19/08/2015	56.00	3	7
Narrikup	3	S1	16	24/06/2015	19/08/2015	56.00	4	6
Denmark	3	S1	17	24/06/2015	19/08/2015	56.00	2	8
Leura	3	S1	18	24/06/2015	19/08/2015	56.00	7	3
Antas 	1	S1	1	24/06/2015	28/08/2015	65.00	7	3
Monti	1	S1	2	24/06/2015	28/08/2015	65.00	4	5
Denmark	1	S1	3	24/06/2015	28/08/2015	65.00	3	6
Leura	1	S1	4	24/06/2015	28/08/2015	65.00	4	5
Narrikup	1	S1	5	24/06/2015	28/08/2015	65.00	2	7
Woogenellup	1	S1	6	24/06/2015	28/08/2015	65.00	3	7
Antas 	2	S1	7	24/06/2015	28/08/2015	65.00	3	7
Woogenellup	2	S1	8	24/06/2015	28/08/2015	65.00	2	8
Denmark	2	S1	9	24/06/2015	28/08/2015	65.00	3	7
Monti	2	S1	10	24/06/2015	28/08/2015	65.00	2	6
Narrikup	2	S1	11	24/06/2015	28/08/2015	65.00	4	7
Leura	2	S1	12	24/06/2015	28/08/2015	65.00	3	7
Woogenellup	3	S1	13	24/06/2015	28/08/2015	65.00	3	7
Antas 	3	S1	14	24/06/2015	28/08/2015	65.00	1	9
Monti	3	S1	15	24/06/2015	28/08/2015	65.00	2	8
Narrikup	3	S1	16	24/06/2015	28/08/2015	65.00	3	7
Denmark	3	S1	17	24/06/2015	28/08/2015	65.00	1	9
Leura	3	S1	18	24/06/2015	28/08/2015	65.00	3	7
Antas 	1	S1	1	24/06/2015	2/09/2015	70.00	2	8
Monti	1	S1	2	24/06/2015	2/09/2015	70.00	2	8
Denmark	1	S1	3	24/06/2015	2/09/2015	70.00	0	10
Leura	1	S1	4	24/06/2015	2/09/2015	70.00	2	8
Narrikup	1	S1	5	24/06/2015	2/09/2015	70.00	1	9
Woogenellup	1	S1	6	24/06/2015	2/09/2015	70.00	1	9
Antas 	2	S1	7	24/06/2015	2/09/2015	70.00	2	8
Woogenellup	2	S1	8	24/06/2015	2/09/2015	70.00	0	10
Denmark	2	S1	9	24/06/2015	2/09/2015	70.00	1	9
Monti	2	S1	10	24/06/2015	2/09/2015	70.00	2	8
Narrikup	2	S1	11	24/06/2015	2/09/2015	70.00	0	10
Leura	2	S1	12	24/06/2015	2/09/2015	70.00	1	9
Woogenellup	3	S1	13	24/06/2015	2/09/2015	70.00	0	10
Antas 	3	S1	14	24/06/2015	2/09/2015	70.00	0	10
Monti	3	S1	15	24/06/2015	2/09/2015	70.00	1	9
Narrikup	3	S1	16	24/06/2015	2/09/2015	70.00	0	10
Denmark	3	S1	17	24/06/2015	2/09/2015	70.00	0	10
Leura	3	S1	18	24/06/2015	2/09/2015	70.00	1	9
Antas 	1	S1	1	24/06/2015	4/09/2015	72.00	2	10
Monti	1	S1	2	24/06/2015	4/09/2015	72.00	2	10
Denmark	1	S1	3	24/06/2015	4/09/2015	72.00	0	10
Leura	1	S1	4	24/06/2015	4/09/2015	72.00	2	10
Narrikup	1	S1	5	24/06/2015	4/09/2015	72.00	1	10
Woogenellup	1	S1	6	24/06/2015	4/09/2015	72.00	1	10
Antas 	2	S1	7	24/06/2015	4/09/2015	72.00	2	10
Woogenellup	2	S1	8	24/06/2015	4/09/2015	72.00	0	10
Denmark	2	S1	9	24/06/2015	4/09/2015	72.00	1	10
Monti	2	S1	10	24/06/2015	4/09/2015	72.00	2	10
Narrikup	2	S1	11	24/06/2015	4/09/2015	72.00	0	10
Leura	2	S1	12	24/06/2015	4/09/2015	72.00	1	10
Woogenellup	3	S1	13	24/06/2015	4/09/2015	72.00	0	10
Antas 	3	S1	14	24/06/2015	4/09/2015	72.00	0	10
Monti	3	S1	15	24/06/2015	4/09/2015	72.00	1	10
Narrikup	3	S1	16	24/06/2015	4/09/2015	72.00	0	10
Denmark	3	S1	17	24/06/2015	4/09/2015	72.00	0	10
Leura	3	S1	18	24/06/2015	4/09/2015	72.00	1	10
Narrikup	1	S2	19	28/07/2015	28/07/2015	0.00	0	0
Monti	1	S2	20	28/07/2015	28/07/2015	0.00	0	0
Woogenellup	1	S2	21	28/07/2015	28/07/2015	0.00	0	0
Leura	1	S2	22	28/07/2015	28/07/2015	0.00	0	0
Denmark	1	S2	23	28/07/2015	28/07/2015	0.00	0	0
Antas 	1	S2	24	28/07/2015	28/07/2015	0.00	0	0
Leura	2	S2	25	28/07/2015	28/07/2015	0.00	0	0
Woogenellup	2	S2	26	28/07/2015	28/07/2015	0.00	0	0
Denmark	2	S2	27	28/07/2015	28/07/2015	0.00	0	0
Narrikup	2	S2	28	28/07/2015	28/07/2015	0.00	0	0
Antas 	2	S2	29	28/07/2015	28/07/2015	0.00	0	0
Monti	2	S2	30	28/07/2015	28/07/2015	0.00	0	0
Denmark	3	S2	31	28/07/2015	28/07/2015	0.00	0	0
Antas 	3	S2	32	28/07/2015	28/07/2015	0.00	0	0
Monti	3	S2	33	28/07/2015	28/07/2015	0.00	0	0
Woogenellup	3	S2	34	28/07/2015	28/07/2015	0.00	0	0
Leura	3	S2	35	28/07/2015	28/07/2015	0.00	0	0
Narrikup	3	S2	36	28/07/2015	28/07/2015	0.00	0	0
Narrikup	1	S2	19	28/07/2015	10/09/2015	44.00	8	2
Monti	1	S2	20	28/07/2015	10/09/2015	44.00	7	3
Woogenellup	1	S2	21	28/07/2015	10/09/2015	44.00	3	7
Leura	1	S2	22	28/07/2015	10/09/2015	44.00	2	8
Denmark	1	S2	23	28/07/2015	10/09/2015	44.00	7	3
Antas 	1	S2	24	28/07/2015	10/09/2015	44.00	0	6
Leura	2	S2	25	28/07/2015	10/09/2015	44.00	5	5
Woogenellup	2	S2	26	28/07/2015	10/09/2015	44.00	1	9
Denmark	2	S2	27	28/07/2015	10/09/2015	44.00	7	3
Narrikup	2	S2	28	28/07/2015	10/09/2015	44.00	2	8
Antas 	2	S2	29	28/07/2015	10/09/2015	44.00	1	9
Monti	2	S2	30	28/07/2015	10/09/2015	44.00	4	6
Denmark	3	S2	31	28/07/2015	10/09/2015	44.00	5	5
Antas 	3	S2	32	28/07/2015	10/09/2015	44.00	7	3
Monti	3	S2	33	28/07/2015	10/09/2015	44.00	8	2
Woogenellup	3	S2	34	28/07/2015	10/09/2015	44.00	7	3
Leura	3	S2	35	28/07/2015	10/09/2015	44.00	8	2
Narrikup	3	S2	36	28/07/2015	10/09/2015	44.00	8	2
Narrikup	1	S2	19	28/07/2015	14/09/2015	48.00	2	8
Monti	1	S2	20	28/07/2015	14/09/2015	48.00	1	9
Woogenellup	1	S2	21	28/07/2015	14/09/2015	48.00	0	10
Leura	1	S2	22	28/07/2015	14/09/2015	48.00	0	10
Denmark	1	S2	23	28/07/2015	14/09/2015	48.00	1	9
Antas 	1	S2	24	28/07/2015	14/09/2015	48.00	2	8
Leura	2	S2	25	28/07/2015	14/09/2015	48.00	2	8
Woogenellup	2	S2	26	28/07/2015	14/09/2015	48.00	0	10
Denmark	2	S2	27	28/07/2015	14/09/2015	48.00	0	10
Narrikup	2	S2	28	28/07/2015	14/09/2015	48.00	1	9
Antas 	2	S2	29	28/07/2015	14/09/2015	48.00	1	9
Monti	2	S2	30	28/07/2015	14/09/2015	48.00	0	10
Denmark	3	S2	31	28/07/2015	14/09/2015	48.00	1	9
Antas 	3	S2	32	28/07/2015	14/09/2015	48.00	2	8
Monti	3	S2	33	28/07/2015	14/09/2015	48.00	3	7
Woogenellup	3	S2	34	28/07/2015	14/09/2015	48.00	2	8
Leura	3	S2	35	28/07/2015	14/09/2015	48.00	2	8
Narrikup	3	S2	36	28/07/2015	14/09/2015	48.00	0	10
Denmark	1	S3	37	15/09/2015	15/09/2015	0.00	0	0
Antas 	1	S3	38	15/09/2015	15/09/2015	0.00	0	0
Woogenellup	1	S3	39	15/09/2015	15/09/2015	0.00	0	0
Leura	1	S3	40	15/09/2015	15/09/2015	0.00	0	0
Narrikup	1	S3	41	15/09/2015	15/09/2015	0.00	0	0
Monti	1	S3	42	15/09/2015	15/09/2015	0.00	0	0
Woogenellup	2	S3	43	15/09/2015	15/09/2015	0.00	0	0
Leura	2	S3	44	15/09/2015	15/09/2015	0.00	0	0
Narrikup	2	S3	45	15/09/2015	15/09/2015	0.00	0	0
Antas 	2	S3	46	15/09/2015	15/09/2015	0.00	0	0
Denmark	2	S3	47	15/09/2015	15/09/2015	0.00	0	0
Monti	2	S3	48	15/09/2015	15/09/2015	0.00	0	0
Leura	3	S3	49	15/09/2015	15/09/2015	0.00	0	0
Woogenellup	3	S3	50	15/09/2015	15/09/2015	0.00	0	0
Antas 	3	S3	51	15/09/2015	15/09/2015	0.00	0	0
Monti	3	S3	52	15/09/2015	15/09/2015	0.00	0	0
Narrikup	3	S3	53	15/09/2015	15/09/2015	0.00	0	0
Denmark	3	S3	54	15/09/2015	15/09/2015	0.00	0	0
Narrikup	1	S2	19	28/07/2015	16/09/2015	50.00	10	10
Monti	1	S2	20	28/07/2015	16/09/2015	50.00	10	10
Woogenellup	1	S2	21	28/07/2015	16/09/2015	50.00	10	10
Leura	1	S2	22	28/07/2015	16/09/2015	50.00	10	10
Denmark	1	S2	23	28/07/2015	16/09/2015	50.00	10	10
Antas 	1	S2	24	28/07/2015	16/09/2015	50.00	10	10
Leura	2	S2	25	28/07/2015	16/09/2015	50.00	10	10
Woogenellup	2	S2	26	28/07/2015	16/09/2015	50.00	10	10
Denmark	2	S2	27	28/07/2015	16/09/2015	50.00	10	10
Narrikup	2	S2	28	28/07/2015	16/09/2015	50.00	10	10
Antas 	2	S2	29	28/07/2015	16/09/2015	50.00	10	10
Monti	2	S2	30	28/07/2015	16/09/2015	50.00	10	10
Denmark	3	S2	31	28/07/2015	16/09/2015	50.00	10	10
Antas 	3	S2	32	28/07/2015	16/09/2015	50.00	10	10
Monti	3	S2	33	28/07/2015	16/09/2015	50.00	10	10
Woogenellup	3	S2	34	28/07/2015	16/09/2015	50.00	10	10
Leura	3	S2	35	28/07/2015	16/09/2015	50.00	10	10
Narrikup	3	S2	36	28/07/2015	16/09/2015	50.00	10	10
Denmark	1	S3	37	15/09/2015	8/10/2015	23.00	10	0
Antas 	1	S3	38	15/09/2015	8/10/2015	23.00	10	0
Woogenellup	1	S3	39	15/09/2015	8/10/2015	23.00	10	0
Leura	1	S3	40	15/09/2015	8/10/2015	23.00	10	0
Narrikup	1	S3	41	15/09/2015	8/10/2015	23.00	10	0
Monti	1	S3	42	15/09/2015	8/10/2015	23.00	10	0
Woogenellup	2	S3	43	15/09/2015	8/10/2015	23.00	3	7
Leura	2	S3	44	15/09/2015	8/10/2015	23.00	1	9
Narrikup	2	S3	45	15/09/2015	8/10/2015	23.00	2	8
Antas 	2	S3	46	15/09/2015	8/10/2015	23.00	1	9
Denmark	2	S3	47	15/09/2015	8/10/2015	23.00	4	6
Monti	2	S3	48	15/09/2015	8/10/2015	23.00	2	8
Leura	3	S3	49	15/09/2015	8/10/2015	23.00	10	0
Woogenellup	3	S3	50	15/09/2015	8/10/2015	23.00	10	0
Antas 	3	S3	51	15/09/2015	8/10/2015	23.00	10	0
Monti	3	S3	52	15/09/2015	8/10/2015	23.00	10	0
Narrikup	3	S3	53	15/09/2015	8/10/2015	23.00	10	0
Denmark	3	S3	54	15/09/2015	8/10/2015	23.00	10	0
Denmark	1	S3	37	15/09/2015	16/10/2015	31.00	0	10
Antas 	1	S3	38	15/09/2015	16/10/2015	31.00	0	10
Woogenellup	1	S3	39	15/09/2015	16/10/2015	31.00	0	10
Leura	1	S3	40	15/09/2015	16/10/2015	31.00	1	9
Narrikup	1	S3	41	15/09/2015	16/10/2015	31.00	0	10
Monti	1	S3	42	15/09/2015	16/10/2015	31.00	0	10
Woogenellup	2	S3	43	15/09/2015	16/10/2015	31.00	0	10
Leura	2	S3	44	15/09/2015	16/10/2015	31.00	0	10
Narrikup	2	S3	45	15/09/2015	16/10/2015	31.00	0	10
Antas 	2	S3	46	15/09/2015	16/10/2015	31.00	0	10
Denmark	2	S3	47	15/09/2015	16/10/2015	31.00	0	10
Monti	2	S3	48	15/09/2015	16/10/2015	31.00	0	10
Leura	3	S3	49	15/09/2015	16/10/2015	31.00	0	10
Woogenellup	3	S3	50	15/09/2015	16/10/2015	31.00	0	10
Antas 	3	S3	51	15/09/2015	16/10/2015	31.00	0	10
Monti	3	S3	52	15/09/2015	16/10/2015	31.00	0	10
Narrikup	3	S3	53	15/09/2015	16/10/2015	31.00	0	10
Denmark	3	S3	54	15/09/2015	16/10/2015	31.00	0	10
Denmark	1	S3	37	15/09/2015	16/11/2015	62.00	0	10
Antas 	1	S3	38	15/09/2015	16/11/2015	62.00	0	10
Woogenellup	1	S3	39	15/09/2015	16/11/2015	62.00	0	10
Leura	1	S3	40	15/09/2015	16/11/2015	62.00	0	10
Narrikup	1	S3	41	15/09/2015	16/11/2015	62.00	0	10
Monti	1	S3	42	15/09/2015	16/11/2015	62.00	0	10
Woogenellup	2	S3	43	15/09/2015	16/11/2015	62.00	0	10
Leura	2	S3	44	15/09/2015	16/11/2015	62.00	0	10
Narrikup	2	S3	45	15/09/2015	16/11/2015	62.00	0	10
Antas 	2	S3	46	15/09/2015	16/11/2015	62.00	0	10
Denmark	2	S3	47	15/09/2015	16/11/2015	62.00	0	10
Monti	2	S3	48	15/09/2015	16/11/2015	62.00	0	10
Leura	3	S3	49	15/09/2015	16/11/2015	62.00	0	10
Woogenellup	3	S3	50	15/09/2015	16/11/2015	62.00	0	10
Antas 	3	S3	51	15/09/2015	16/11/2015	62.00	0	10
Monti	3	S3	52	15/09/2015	16/11/2015	62.00	0	10
Narrikup	3	S3	53	15/09/2015	16/11/2015	62.00	0	10
Denmark	3	S3	54	15/09/2015	16/11/2015	62.00	0	10
Narrikup	1	S4	55	5/11/2015	5/11/2015	0.00	0	0
Antas 	1	S4	56	5/11/2015	5/11/2015	0.00	0	0
Denmark	1	S4	57	5/11/2015	5/11/2015	0.00	0	0
Leura	1	S4	58	5/11/2015	5/11/2015	0.00	0	0
Monti	1	S4	59	5/11/2015	5/11/2015	0.00	0	0
Woogenellup	1	S4	60	5/11/2015	5/11/2015	0.00	0	0
Antas 	2	S4	61	5/11/2015	5/11/2015	0.00	0	0
Woogenellup	2	S4	62	5/11/2015	5/11/2015	0.00	0	0
Narrikup	2	S4	63	5/11/2015	5/11/2015	0.00	0	0
Leura	2	S4	64	5/11/2015	5/11/2015	0.00	0	0
Denmark	2	S4	65	5/11/2015	5/11/2015	0.00	0	0
Monti	2	S4	66	5/11/2015	5/11/2015	0.00	0	0
Leura	3	S4	67	5/11/2015	5/11/2015	0.00	0	0
Monti	3	S4	68	5/11/2015	5/11/2015	0.00	0	0
Narrikup	3	S4	69	5/11/2015	5/11/2015	0.00	0	0
Antas 	3	S4	70	5/11/2015	5/11/2015	0.00	0	0
Woogenellup	3	S4	71	5/11/2015	5/11/2015	0.00	0	0
Denmark	3	S4	72	5/11/2015	5/11/2015	0.00	0	0
Narrikup	1	S4	55	5/11/2015	23/11/2015	18.00	5	0
Antas 	1	S4	56	5/11/2015	23/11/2015	18.00	6	0
Denmark	1	S4	57	5/11/2015	23/11/2015	18.00	4	0
Leura	1	S4	58	5/11/2015	23/11/2015	18.00	6	0
Monti	1	S4	59	5/11/2015	23/11/2015	18.00	4	0
Woogenellup	1	S4	60	5/11/2015	23/11/2015	18.00	6	0
Antas 	2	S4	61	5/11/2015	23/11/2015	18.00	9	0
Woogenellup	2	S4	62	5/11/2015	23/11/2015	18.00	8	0
Narrikup	2	S4	63	5/11/2015	23/11/2015	18.00	8	0
Leura	2	S4	64	5/11/2015	23/11/2015	18.00	8	0
Denmark	2	S4	65	5/11/2015	23/11/2015	18.00	7	3
Monti	2	S4	66	5/11/2015	23/11/2015	18.00	6	0
Leura	3	S4	67	5/11/2015	23/11/2015	18.00	7	4
Monti	3	S4	68	5/11/2015	23/11/2015	18.00	9	5
Narrikup	3	S4	69	5/11/2015	23/11/2015	18.00	8	5
Antas 	3	S4	70	5/11/2015	23/11/2015	18.00	7	1
Woogenellup	3	S4	71	5/11/2015	23/11/2015	18.00	8	3
Denmark	3	S4	72	5/11/2015	23/11/2015	18.00	9	4
Narrikup	1	S4	55	5/11/2015	8/12/2015	33.00	10	10
Antas 	1	S4	56	5/11/2015	8/12/2015	33.00	10	6
Denmark	1	S4	57	5/11/2015	8/12/2015	33.00	10	8
Leura	1	S4	58	5/11/2015	8/12/2015	33.00	10	9
Monti	1	S4	59	5/11/2015	8/12/2015	33.00	10	8
Woogenellup	1	S4	60	5/11/2015	8/12/2015	33.00	10	7
Antas 	2	S4	61	5/11/2015	8/12/2015	33.00	10	9
Woogenellup	2	S4	62	5/11/2015	8/12/2015	33.00	10	4
Narrikup	2	S4	63	5/11/2015	8/12/2015	33.00	10	10
Leura	2	S4	64	5/11/2015	8/12/2015	33.00	10	6
Denmark	2	S4	65	5/11/2015	8/12/2015	33.00	10	9
Monti	2	S4	66	5/11/2015	8/12/2015	33.00	10	8
Leura	3	S4	67	5/11/2015	8/12/2015	33.00	10	8
Monti	3	S4	68	5/11/2015	8/12/2015	33.00	10	10
Narrikup	3	S4	69	5/11/2015	8/12/2015	33.00	10	10
Antas 	3	S4	70	5/11/2015	8/12/2015	33.00	10	10
Woogenellup	3	S4	71	5/11/2015	8/12/2015	33.00	10	10
Denmark	3	S4	72	5/11/2015	8/12/2015	33.00	10	10
Narrikup	1	S4	55	5/11/2015	15/12/2015	40.00	10	10
Antas 	1	S4	56	5/11/2015	15/12/2015	40.00	10	10
Denmark	1	S4	57	5/11/2015	15/12/2015	40.00	10	10
Leura	1	S4	58	5/11/2015	15/12/2015	40.00	10	10
Monti	1	S4	59	5/11/2015	15/12/2015	40.00	10	10
Woogenellup	1	S4	60	5/11/2015	15/12/2015	40.00	10	10
Antas 	2	S4	61	5/11/2015	15/12/2015	40.00	10	10
Woogenellup	2	S4	62	5/11/2015	15/12/2015	40.00	10	10
Narrikup	2	S4	63	5/11/2015	15/12/2015	40.00	10	10
Leura	2	S4	64	5/11/2015	15/12/2015	40.00	10	10
Denmark	2	S4	65	5/11/2015	15/12/2015	40.00	10	10
Monti	2	S4	66	5/11/2015	15/12/2015	40.00	10	10
Leura	3	S4	67	5/11/2015	15/12/2015	40.00	10	10
Monti	3	S4	68	5/11/2015	15/12/2015	40.00	10	10
Narrikup	3	S4	69	5/11/2015	15/12/2015	40.00	10	10
Antas 	3	S4	70	5/11/2015	15/12/2015	40.00	10	10
Woogenellup	3	S4	71	5/11/2015	15/12/2015	40.00	10	10
Denmark	3	S4	72	5/11/2015	15/12/2015	40.00	10	10
Woogenellup	1	S5	73	15/12/2015	15/12/2015	0.00	0	0
Leura	1	S5	74	15/12/2015	15/12/2015	0.00	0	0
Antas 	1	S5	75	15/12/2015	15/12/2015	0.00	0	0
Narrikup	1	S5	76	15/12/2015	15/12/2015	0.00	0	0
Monti	1	S5	77	15/12/2015	15/12/2015	0.00	0	0
Denmark	1	S5	78	15/12/2015	15/12/2015	0.00	0	0
Denmark	2	S5	79	15/12/2015	15/12/2015	0.00	0	0
Monti	2	S5	80	15/12/2015	15/12/2015	0.00	0	0
Leura	2	S5	81	15/12/2015	15/12/2015	0.00	0	0
Woogenellup	2	S5	82	15/12/2015	15/12/2015	0.00	0	0
Antas 	2	S5	83	15/12/2015	15/12/2015	0.00	0	0
Narrikup	2	S5	84	15/12/2015	15/12/2015	0.00	0	0
Leura	3	S5	85	15/12/2015	15/12/2015	0.00	0	0
Antas 	3	S5	86	15/12/2015	15/12/2015	0.00	0	0
Monti	3	S5	87	15/12/2015	15/12/2015	0.00	0	0
Denmark	3	S5	88	15/12/2015	15/12/2015	0.00	0	0
Narrikup	3	S5	89	15/12/2015	15/12/2015	0.00	0	0
Narrikup	3	S5	90	15/12/2015	15/12/2015	0.00	0	0
Woogenellup	1	S5	73	15/12/2015	27/12/2015	12.00	8	0
Leura	1	S5	74	15/12/2015	27/12/2015	12.00	9	0
Antas 	1	S5	75	15/12/2015	27/12/2015	12.00	10	0
Narrikup	1	S5	76	15/12/2015	27/12/2015	12.00	9	0
Monti	1	S5	77	15/12/2015	27/12/2015	12.00	9	4
Denmark	1	S5	78	15/12/2015	27/12/2015	12.00	9	0
Denmark	2	S5	79	15/12/2015	27/12/2015	12.00	10	0
Monti	2	S5	80	15/12/2015	27/12/2015	12.00	10	3
Leura	2	S5	81	15/12/2015	27/12/2015	12.00	9	0
Woogenellup	2	S5	82	15/12/2015	27/12/2015	12.00	10	1
Antas 	2	S5	83	15/12/2015	27/12/2015	12.00	10	0
Narrikup	2	S5	84	15/12/2015	27/12/2015	12.00	10	0
Leura	3	S5	85	15/12/2015	27/12/2015	12.00	10	0
Antas 	3	S5	86	15/12/2015	27/12/2015	12.00	10	0
Monti	3	S5	87	15/12/2015	27/12/2015	12.00	8	1
Denmark	3	S5	88	15/12/2015	27/12/2015	12.00	10	0
Narrikup	3	S5	89	15/12/2015	27/12/2015	12.00	10	0
Narrikup	3	S5	90	15/12/2015	27/12/2015	12.00	8	0
Woogenellup	1	S5	73	15/12/2015	29/12/2015	14.00	10	4
Leura	1	S5	74	15/12/2015	29/12/2015	14.00	10	3
Antas 	1	S5	75	15/12/2015	29/12/2015	14.00	10	3
Narrikup	1	S5	76	15/12/2015	29/12/2015	14.00	10	1
Monti	1	S5	77	15/12/2015	29/12/2015	14.00	10	6
Denmark	1	S5	78	15/12/2015	29/12/2015	14.00	9	0
Denmark	2	S5	79	15/12/2015	29/12/2015	14.00	10	3
Monti	2	S5	80	15/12/2015	29/12/2015	14.00	10	8
Leura	2	S5	81	15/12/2015	29/12/2015	14.00	10	6
Woogenellup	2	S5	82	15/12/2015	29/12/2015	14.00	10	5
Antas 	2	S5	83	15/12/2015	29/12/2015	14.00	10	4
Narrikup	2	S5	84	15/12/2015	29/12/2015	14.00	10	7
Leura	3	S5	85	15/12/2015	29/12/2015	14.00	10	8
Antas 	3	S5	86	15/12/2015	29/12/2015	14.00	10	10
Monti	3	S5	87	15/12/2015	29/12/2015	14.00	10	10
Denmark	3	S5	88	15/12/2015	29/12/2015	14.00	10	7
Narrikup	3	S5	89	15/12/2015	29/12/2015	14.00	10	6
Narrikup	3	S5	90	15/12/2015	29/12/2015	14.00	10	6
Woogenellup	1	S5	73	15/12/2015	4/01/2016	20.00	10	10
Leura	1	S5	74	15/12/2015	4/01/2016	20.00	10	10
Antas 	1	S5	75	15/12/2015	4/01/2016	20.00	10	10
Narrikup	1	S5	76	15/12/2015	4/01/2016	20.00	10	10
Monti	1	S5	77	15/12/2015	4/01/2016	20.00	10	10
Denmark	1	S5	78	15/12/2015	4/01/2016	20.00	10	10
Denmark	2	S5	79	15/12/2015	4/01/2016	20.00	10	10
Monti	2	S5	80	15/12/2015	4/01/2016	20.00	10	10
Leura	2	S5	81	15/12/2015	4/01/2016	20.00	10	10
Woogenellup	2	S5	82	15/12/2015	4/01/2016	20.00	10	10
Antas 	2	S5	83	15/12/2015	4/01/2016	20.00	10	10
Narrikup	2	S5	84	15/12/2015	4/01/2016	20.00	10	10
Leura	3	S5	85	15/12/2015	4/01/2016	20.00	10	10
Antas 	3	S5	86	15/12/2015	4/01/2016	20.00	10	10
Monti	3	S5	87	15/12/2015	4/01/2016	20.00	10	10
Denmark	3	S5	88	15/12/2015	4/01/2016	20.00	10	10
Narrikup	3	S5	89	15/12/2015	4/01/2016	20.00	10	10
Narrikup	3	S5	90	15/12/2015	4/01/2016	20.00	10	10
Woogenellup	1	S5	73	15/12/2015	8/01/2016	24.00	10	10
Leura	1	S5	74	15/12/2015	8/01/2016	24.00	10	10
Antas 	1	S5	75	15/12/2015	8/01/2016	24.00	10	10
Narrikup	1	S5	76	15/12/2015	8/01/2016	24.00	10	10
Monti	1	S5	77	15/12/2015	8/01/2016	24.00	10	10
Denmark	1	S5	78	15/12/2015	8/01/2016	24.00	10	10
Denmark	2	S5	79	15/12/2015	8/01/2016	24.00	10	10
Monti	2	S5	80	15/12/2015	8/01/2016	24.00	10	10
Leura	2	S5	81	15/12/2015	8/01/2016	24.00	10	10
Woogenellup	2	S5	82	15/12/2015	8/01/2016	24.00	10	10
Antas 	2	S5	83	15/12/2015	8/01/2016	24.00	10	10
Narrikup	2	S5	84	15/12/2015	8/01/2016	24.00	10	10
Leura	3	S5	85	15/12/2015	8/01/2016	24.00	10	10
Antas 	3	S5	86	15/12/2015	8/01/2016	24.00	10	10
Monti	3	S5	87	15/12/2015	8/01/2016	24.00	10	10
Denmark	3	S5	88	15/12/2015	8/01/2016	24.00	10	10
Narrikup	3	S5	89	15/12/2015	8/01/2016	24.00	10	10
Narrikup	3	S5	90	15/12/2015	8/01/2016	24.00	10	10
Denmark	4	S6	91	17/02/2016	17/02/2016	0.00	0	0
Monti	5	S6	92	17/02/2016	17/02/2016	0.00	0	0
Woogenellup	6	S6	93	17/02/2016	17/02/2016	0.00	0	0
Leura	7	S6	94	17/02/2016	17/02/2016	0.00	0	0
Antas 	8	S6	95	17/02/2016	17/02/2016	0.00	0	0
Narrikup	9	S6	96	17/02/2016	17/02/2016	0.00	0	0
Leura	10	S6	97	17/02/2016	17/02/2016	0.00	0	0
Monti	11	S6	98	17/02/2016	17/02/2016	0.00	0	0
Woogenellup	12	S6	99	17/02/2016	17/02/2016	0.00	0	0
