Cultivar	SowTreat	SowingD	DAS	Date	Plot	Variable	S1	S2	S3	S4	S5
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Early	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Open	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Petal	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Bur1	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Bur2	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Bur3	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	8	Bur4	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Bud	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Early	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Open	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Petal	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Bur1	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Bur2	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Bur3	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	9	Bur4	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Bud	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Early	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Open	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Petal	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Bur1	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Bur2	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Bur3	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	10	Bur4	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Bud	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Early	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Open	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Petal	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Bur1	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Bur2	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Bur3	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	11	Bur4	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Bud	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Early	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Open	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Petal	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Bur1	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Bur2	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Bur3	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	12	Bur4	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Bud	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Early	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Open	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Petal	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Bur1	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Bur2	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Bur3	0	0	0	0	0
Woogenellup	S1	24/06/2015	110	12/10/2015	13	Bur4	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Bud	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Early	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Open	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Petal	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Bur1	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Bur2	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Bur3	0	0	0	0	0
Antas 	S1	24/06/2015	110	12/10/2015	14	Bur4	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Bud	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Early	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Open	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Petal	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Bur1	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Bur2	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Bur3	0	0	0	0	0
Monti	S1	24/06/2015	110	12/10/2015	15	Bur4	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Bud	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Early	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Open	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Petal	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Bur1	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Bur2	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Bur3	0	0	0	0	0
Narrikup	S1	24/06/2015	110	12/10/2015	16	Bur4	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Bud	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Early	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Open	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Petal	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Bur1	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Bur2	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Bur3	0	0	0	0	0
Denmark	S1	24/06/2015	110	12/10/2015	17	Bur4	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Bud	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Early	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Open	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Petal	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Bur1	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Bur2	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Bur3	0	0	0	0	0
Leura	S1	24/06/2015	110	12/10/2015	18	Bur4	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Bud	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Early	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Open	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Petal	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Bur1	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Bur2	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Bur3	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	1	Bur4	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Bud	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Early	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Open	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Petal	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Bur1	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Bur2	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Bur3	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	2	Bur4	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Bud	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Early	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Open	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Petal	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Bur1	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Bur2	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Bur3	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	3	Bur4	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Bud	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Early	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Open	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Petal	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Bur1	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Bur2	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Bur3	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	4	Bur4	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Bud	0	1	0	1	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Early	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Open	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Petal	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Bur1	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Bur2	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Bur3	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	5	Bur4	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Bud	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Early	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Open	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Petal	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Bur1	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Bur2	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Bur3	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	6	Bur4	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Bud	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Early	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Open	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Petal	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Bur1	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Bur2	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Bur3	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	7	Bur4	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Bud	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Early	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Open	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Petal	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Bur1	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Bur2	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Bur3	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	8	Bur4	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Bud	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Early	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Open	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Petal	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Bur1	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Bur2	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Bur3	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	9	Bur4	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Bud	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Early	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Open	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Petal	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Bur1	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Bur2	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Bur3	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	10	Bur4	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Bud	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Early	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Open	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Petal	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Bur1	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Bur2	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Bur3	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	11	Bur4	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Bud	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Early	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Open	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Petal	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Bur1	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Bur2	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Bur3	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	12	Bur4	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Bud	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Early	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Open	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Petal	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Bur1	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Bur2	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Bur3	0	0	0	0	0
Woogenellup	S1	24/06/2015	114	16/10/2015	13	Bur4	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Bud	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Early	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Open	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Petal	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Bur1	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Bur2	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Bur3	0	0	0	0	0
Antas 	S1	24/06/2015	114	16/10/2015	14	Bur4	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Bud	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Early	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Open	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Petal	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Bur1	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Bur2	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Bur3	0	0	0	0	0
Monti	S1	24/06/2015	114	16/10/2015	15	Bur4	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Bud	1	0	1	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Early	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Open	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Petal	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Bur1	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Bur2	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Bur3	0	0	0	0	0
Narrikup	S1	24/06/2015	114	16/10/2015	16	Bur4	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Bud	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Early	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Open	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Petal	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Bur1	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Bur2	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Bur3	0	0	0	0	0
Denmark	S1	24/06/2015	114	16/10/2015	17	Bur4	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Bud	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Early	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Open	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Petal	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Bur1	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Bur2	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Bur3	0	0	0	0	0
Leura	S1	24/06/2015	114	16/10/2015	18	Bur4	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Bud	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Early	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Open	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Petal	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Bur1	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Bur2	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Bur3	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	1	Bur4	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Bud	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Early	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Open	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Petal	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Bur1	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Bur2	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Bur3	0	0	0	0	0
Monti	S1	24/06/2015	117	19/10/2015	2	Bur4	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Bud	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Early	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Open	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Petal	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Bur1	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Bur2	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Bur3	0	0	0	0	0
Denmark	S1	24/06/2015	117	19/10/2015	3	Bur4	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Bud	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Early	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Open	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Petal	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Bur1	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Bur2	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Bur3	0	0	0	0	0
Leura	S1	24/06/2015	117	19/10/2015	4	Bur4	0	0	0	0	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Bud	0	1	0	1	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Early	0	1	0	1	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Open	0	0	0	0	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Petal	0	0	0	0	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Bur1	0	0	0	0	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Bur2	0	0	0	0	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Bur3	0	0	0	0	0
Narrikup	S1	24/06/2015	117	19/10/2015	5	Bur4	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Bud	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Early	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Open	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Petal	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Bur1	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Bur2	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Bur3	0	0	0	0	0
Woogenellup	S1	24/06/2015	117	19/10/2015	6	Bur4	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Bud	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Early	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Open	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Petal	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Bur1	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Bur2	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Bur3	0	0	0	0	0
Antas 	S1	24/06/2015	117	19/10/2015	7	Bur4	0	0	0	0	0
