Date	Plot	Variable	S1	S2	S3	S4	S5	Percent	Cultivar	SowingDate	SowingD	DAS
16/10/2015	10	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	114
16/10/2015	11	Bud	0	0	0	0	0	0	Narrikup	S1	24/06/2015	114
16/10/2015	12	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	114
16/10/2015	13	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	114
16/10/2015	14	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	114
16/10/2015	15	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	114
16/10/2015	16	Bud	1	0	1	0	0	40	Narrikup	S1	24/06/2015	114
16/10/2015	17	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	114
16/10/2015	18	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	114
19/10/2015	1	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	117
19/10/2015	2	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	117
19/10/2015	3	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	117
19/10/2015	4	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	117
19/10/2015	5	Bud	0	1	0	1	0	40	Narrikup	S1	24/06/2015	117
19/10/2015	5	Early	0	1	0	1	0	40	Narrikup	S1	24/06/2015	117
19/10/2015	6	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	117
19/10/2015	7	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	117
19/10/2015	8	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	117
19/10/2015	9	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	117
19/10/2015	10	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	117
19/10/2015	11	Bud	0	0	0	0	0	0	Narrikup	S1	24/06/2015	117
19/10/2015	12	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	117
19/10/2015	13	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	117
19/10/2015	14	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	117
19/10/2015	15	Bud	0	0	0	0	0	0	Monti	S1	24/06/2015	117
19/10/2015	16	Bud	1	0	1	0	0	40	Narrikup	S1	24/06/2015	117
19/10/2015	17	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	117
19/10/2015	18	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	117
27/10/2015	1	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	125
27/10/2015	2	Bud	1	0	1	1	1	80	Monti	S1	24/06/2015	125
27/10/2015	2	Early	1	1	0	1	1	80	Monti	S1	24/06/2015	125
27/10/2015	2	Open	0	1	1	1	0	60	Monti	S1	24/06/2015	125
27/10/2015	3	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	125
27/10/2015	4	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	125
27/10/2015	5	Bud	1	0	1	0	0	40	Narrikup	S1	24/06/2015	125
27/10/2015	5	Early	1	1	1	1	1	100	Narrikup	S1	24/06/2015	125
27/10/2015	5	Open	1	1	1	1	0	80	Narrikup	S1	24/06/2015	125
27/10/2015	6	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	125
27/10/2015	7	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	125
27/10/2015	8	Bud	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	125
27/10/2015	8	Early	1		1		1	60	Woogenellup	S1	24/06/2015	125
27/10/2015	9	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	125
27/10/2015	10	Bud	1	1	1	1	1	100	Monti	S1	24/06/2015	125
27/10/2015	10	Early	1	1	1	1	0	80	Monti	S1	24/06/2015	125
27/10/2015	10	Open	1	1	0	0	0	40	Monti	S1	24/06/2015	125
27/10/2015	11	Bud	1	1	1	1	1	100	Narrikup	S1	24/06/2015	125
27/10/2015	11	Early	1	1	1	1	1	100	Narrikup	S1	24/06/2015	125
27/10/2015	11	Open	1	1		1	1	80	Narrikup	S1	24/06/2015	125
27/10/2015	12	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	125
27/10/2015	13	Bud	0	0	0	0	0	0	Woogenellup	S1	24/06/2015	125
27/10/2015	14	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	125
27/10/2015	15	Bud					1	20	Monti	S1	24/06/2015	125
27/10/2015	15	Early		1		1	1	60	Monti	S1	24/06/2015	125
27/10/2015	16	Bud	1	1	1	1	1	100	Narrikup	S1	24/06/2015	125
27/10/2015	16	Early		1			1	40	Narrikup	S1	24/06/2015	125
27/10/2015	17	Bud	0	0	0	0	0	0	Denmark	S1	24/06/2015	125
27/10/2015	18	Bud		1		1		40	Leura	S1	24/06/2015	125
27/10/2015	18	Early	1		1		1	60	Leura	S1	24/06/2015	125
27/10/2015	18	Open				1		20	Leura	S1	24/06/2015	125
24/10/2015	19	Bud	0	0	0	0	0	0	Narrikup	S2	28/07/2015	88
24/10/2015	20	Bud						0	Monti	S2	28/07/2015	88
24/10/2015	21	Bud						0	Woogenellup	S2	28/07/2015	88
24/10/2015	22	Bud						0	Leura	S2	28/07/2015	88
24/10/2015	23	Bud						0	Denmark	S2	28/07/2015	88
24/10/2015	24	Bud						0	Antas 	S2	28/07/2015	88
24/10/2015	25	Bud						0	Leura	S2	28/07/2015	88
24/10/2015	26	Bud						0	Woogenellup	S2	28/07/2015	88
24/10/2015	27	Bud						0	Denmark	S2	28/07/2015	88
24/10/2015	28	Bud						0	Narrikup	S2	28/07/2015	88
24/10/2015	29	Bud						0	Antas 	S2	28/07/2015	88
24/10/2015	30	Bud						0	Monti	S2	28/07/2015	88
24/10/2015	31	Bud						0	Denmark	S2	28/07/2015	88
24/10/2015	32	Bud						0	Antas 	S2	28/07/2015	88
24/10/2015	33	Bud						0	Monti	S2	28/07/2015	88
24/10/2015	34	Bud						0	Woogenellup	S2	28/07/2015	88
24/10/2015	35	Bud						0	Leura	S2	28/07/2015	88
24/10/2015	36	Bud						0	Narrikup	S2	28/07/2015	88
28/10/2015	19	Bud						0	Narrikup	S2	28/07/2015	92
28/10/2015	20	Bud						0	Monti	S2	28/07/2015	92
28/10/2015	21	Bud						0	Woogenellup	S2	28/07/2015	92
28/10/2015	22	Bud						0	Leura	S2	28/07/2015	92
28/10/2015	23	Bud						0	Denmark	S2	28/07/2015	92
28/10/2015	24	Bud						0	Antas 	S2	28/07/2015	92
28/10/2015	25	Bud						0	Leura	S2	28/07/2015	92
28/10/2015	26	Bud						0	Woogenellup	S2	28/07/2015	92
28/10/2015	27	Bud						0	Denmark	S2	28/07/2015	92
28/10/2015	28	Bud		1		1		40	Narrikup	S2	28/07/2015	92
28/10/2015	29	Bud						0	Antas 	S2	28/07/2015	92
28/10/2015	30	Bud	1	1				40	Monti	S2	28/07/2015	92
28/10/2015	31	Bud						0	Denmark	S2	28/07/2015	92
28/10/2015	32	Bud						0	Antas 	S2	28/07/2015	92
28/10/2015	33	Bud	1	1				40	Monti	S2	28/07/2015	92
28/10/2015	34	Bud						0	Woogenellup	S2	28/07/2015	92
28/10/2015	35	Bud						0	Leura	S2	28/07/2015	92
28/10/2015	36	Bud						0	Narrikup	S2	28/07/2015	92
2/11/2015	19	Bud	1	1		1		60	Narrikup	S2	28/07/2015	97
2/11/2015	19	Early						0	Narrikup	S2	28/07/2015	97
2/11/2015	20	Bud		1	1	1		60	Monti	S2	28/07/2015	97
2/11/2015	20	Early						0	Monti	S2	28/07/2015	97
2/11/2015	21	Bud						0	Woogenellup	S2	28/07/2015	97
2/11/2015	21	Early						0	Woogenellup	S2	28/07/2015	97
2/11/2015	22	Bud						0	Leura	S2	28/07/2015	97
2/11/2015	22	Early						0	Leura	S2	28/07/2015	97
2/11/2015	23	Bud						0	Denmark	S2	28/07/2015	97
2/11/2015	23	Early						0	Denmark	S2	28/07/2015	97
2/11/2015	24	Bud						0	Antas 	S2	28/07/2015	97
2/11/2015	24	Early						0	Antas 	S2	28/07/2015	97
2/11/2015	25	Bud						0	Leura	S2	28/07/2015	97
2/11/2015	25	Early						0	Leura	S2	28/07/2015	97
2/11/2015	26	Bud						0	Woogenellup	S2	28/07/2015	97
2/11/2015	26	Early						0	Woogenellup	S2	28/07/2015	97
2/11/2015	27	Bud						0	Denmark	S2	28/07/2015	97
2/11/2015	27	Early						0	Denmark	S2	28/07/2015	97
2/11/2015	28	Bud	1				1	40	Narrikup	S2	28/07/2015	97
2/11/2015	28	Early		1		1		40	Narrikup	S2	28/07/2015	97
2/11/2015	29	Bud						0	Antas 	S2	28/07/2015	97
2/11/2015	29	Early						0	Antas 	S2	28/07/2015	97
2/11/2015	30	Bud	1	1		1	1	80	Monti	S2	28/07/2015	97
2/11/2015	30	Early	1		1			40	Monti	S2	28/07/2015	97
2/11/2015	31	Bud						0	Denmark	S2	28/07/2015	97
2/11/2015	31	Early						0	Denmark	S2	28/07/2015	97
2/11/2015	32	Bud						0	Antas 	S2	28/07/2015	97
2/11/2015	32	Early						0	Antas 	S2	28/07/2015	97
2/11/2015	33	Bud			1		1	40	Monti	S2	28/07/2015	97
2/11/2015	33	Early	1	1				40	Monti	S2	28/07/2015	97
2/11/2015	34	Bud						0	Woogenellup	S2	28/07/2015	97
2/11/2015	34	Early						0	Woogenellup	S2	28/07/2015	97
2/11/2015	35	Bud						0	Leura	S2	28/07/2015	97
2/11/2015	35	Early						0	Leura	S2	28/07/2015	97
2/11/2015	36	Bud						0	Narrikup	S2	28/07/2015	97
2/11/2015	36	Early						0	Narrikup	S2	28/07/2015	97
2/11/2015	1	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	131
2/11/2015	2	Bud	1	1	1	1	1	100	Monti	S1	24/06/2015	131
2/11/2015	2	Early	1	1	1	1	1	100	Monti	S1	24/06/2015	131
2/11/2015	2	Open	1	1		1	1	80	Monti	S1	24/06/2015	131
2/11/2015	3	Bud	1	1	1	1	1	100	Denmark	S1	24/06/2015	131
2/11/2015	3	Early		1		1		40	Denmark	S1	24/06/2015	131
2/11/2015	4	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	131
2/11/2015	5	Bud	1	1	1	0	1	80	Narrikup	S1	24/06/2015	131
2/11/2015	5	Early	1	1	1	1	1	100	Narrikup	S1	24/06/2015	131
2/11/2015	5	Open	1	1	1	1	1	100	Narrikup	S1	24/06/2015	131
2/11/2015	6	Bud	1	1	1	1	0	80	Woogenellup	S1	24/06/2015	131
2/11/2015	6	Early	1	1	1			60	Woogenellup	S1	24/06/2015	131
2/11/2015	7	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	131
2/11/2015	8	Bud	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	131
2/11/2015	8	Early			1		1	40	Woogenellup	S1	24/06/2015	131
2/11/2015	8	Open	1	1		1	1	80	Woogenellup	S1	24/06/2015	131
2/11/2015	9	Bud	1	1	1	1	1	100	Denmark	S1	24/06/2015	131
2/11/2015	10	Early	1	1	1	1	1	100	Monti	S1	24/06/2015	131
2/11/2015	10	Open	1	1	1	1	0	80	Monti	S1	24/06/2015	131
2/11/2015	11	Bud	0	0	0	0	1	20	Narrikup	S1	24/06/2015	131
2/11/2015	11	Early	1	1	1	1	1	100	Narrikup	S1	24/06/2015	131
2/11/2015	11	Open	1	1	1	1	1	100	Narrikup	S1	24/06/2015	131
2/11/2015	12	Bud	1	0	1	1	0	60	Leura	S1	24/06/2015	131
2/11/2015	12	Early		1			1	40	Leura	S1	24/06/2015	131
2/11/2015	13	Bud	1	1	0	1	0	60	Woogenellup	S1	24/06/2015	131
2/11/2015	13	Early			1			20	Woogenellup	S1	24/06/2015	131
2/11/2015	14	Bud	0	1	0	0	0	20	Antas 	S1	24/06/2015	131
2/11/2015	14	Early			1			20	Antas 	S1	24/06/2015	131
2/11/2015	15	Bud		1	1			40	Monti	S1	24/06/2015	131
2/11/2015	15	Early	1			1	1	60	Monti	S1	24/06/2015	131
2/11/2015	15	Open		1		1	1	60	Monti	S1	24/06/2015	131
2/11/2015	16	Bud		1		1	1	60	Narrikup	S1	24/06/2015	131
2/11/2015	16	Early	1	1	1		1	80	Narrikup	S1	24/06/2015	131
2/11/2015	16	Open				1		20	Narrikup	S1	24/06/2015	131
2/11/2015	17	Bud	1	0	0	0	0	20	Denmark	S1	24/06/2015	131
2/11/2015	18	Bud		1				20	Leura	S1	24/06/2015	131
2/11/2015	18	Early	1		1		1	60	Leura	S1	24/06/2015	131
2/11/2015	18	Open				1		20	Leura	S1	24/06/2015	131
4/11/2015	1	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	133
4/11/2015	2	Bud	1	1	1	1	1	100	Monti	S1	24/06/2015	133
4/11/2015	2	Early	1	1	1	1	1	100	Monti	S1	24/06/2015	133
4/11/2015	2	Open	1	1	1	1	1	100	Monti	S1	24/06/2015	133
4/11/2015	3	Bud		1		1		40	Denmark	S1	24/06/2015	133
4/11/2015	3	Early	1	1	1	1	1	100	Denmark	S1	24/06/2015	133
4/11/2015	4	Bud	0	0	0	0	0	0	Leura	S1	24/06/2015	133
4/11/2015	5	Bud		1		0	1	40	Narrikup	S1	24/06/2015	133
4/11/2015	5	Early	1	1	1	1	1	100	Narrikup	S1	24/06/2015	133
4/11/2015	5	Open	1	1	1	1	1	100	Narrikup	S1	24/06/2015	133
4/11/2015	6	Bud		1	1	1	1	80	Woogenellup	S1	24/06/2015	133
4/11/2015	6	Early	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	133
4/11/2015	7	Bud	0	0	0	0	0	0	Antas 	S1	24/06/2015	133
4/11/2015	8	Bud	1		1		1	60	Woogenellup	S1	24/06/2015	133
4/11/2015	8	Early	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	133
4/11/2015	8	Open			1		1	40	Woogenellup	S1	24/06/2015	133
4/11/2015	9	Bud		1	1	1		60	Denmark	S1	24/06/2015	133
4/11/2015	9	Early	1	1		1	1	80	Denmark	S1	24/06/2015	133
4/11/2015	10	Bud	1				1	40	Monti	S1	24/06/2015	133
4/11/2015	10	Early	1	1	1	1		80	Monti	S1	24/06/2015	133
4/11/2015	10	Open	1	1	1	1	1	100	Monti	S1	24/06/2015	133
4/11/2015	11	Bud	0	0	0	0	1	20	Narrikup	S1	24/06/2015	133
4/11/2015	11	Early	1	1	1	1	1	100	Narrikup	S1	24/06/2015	133
4/11/2015	11	Open	1	1	1	1	1	100	Narrikup	S1	24/06/2015	133
4/11/2015	12	Bud	1	0		1	0	40	Leura	S1	24/06/2015	133
4/11/2015	12	Early		1	1		1	60	Leura	S1	24/06/2015	133
4/11/2015	13	Bud			0	1	0	20	Woogenellup	S1	24/06/2015	133
4/11/2015	13	Early	1	1	1			60	Woogenellup	S1	24/06/2015	133
4/11/2015	14	Bud	0		0	0	1	20	Antas 	S1	24/06/2015	133
4/11/2015	14	Early		1	1			40	Antas 	S1	24/06/2015	133
4/11/2015	15	Bud		1				20	Monti	S1	24/06/2015	133
4/11/2015	15	Early				1	1	40	Monti	S1	24/06/2015	133
4/11/2015	15	Open	1	1	1	1	1	100	Monti	S1	24/06/2015	133
4/11/2015	16	Bud	1			1		40	Narrikup	S1	24/06/2015	133
4/11/2015	16	Early		1	1		1	60	Narrikup	S1	24/06/2015	133
4/11/2015	16	Open	1	1		1	1	80	Narrikup	S1	24/06/2015	133
4/11/2015	17	Bud	1	1	0	0	0	40	Denmark	S1	24/06/2015	133
4/11/2015	17	Early	1					20	Denmark	S1	24/06/2015	133
4/11/2015	17	Open						0	Denmark	S1	24/06/2015	133
4/11/2015	18	Bud		1				20	Leura	S1	24/06/2015	133
4/11/2015	18	Early					1	20	Leura	S1	24/06/2015	133
4/11/2015	18	Open	1	1			1	60	Leura	S1	24/06/2015	133
4/11/2015	19	Bud	1		1	1		60	Narrikup	S2	28/07/2015	99
4/11/2015	19	Early		1		1		40	Narrikup	S2	28/07/2015	99
4/11/2015	19	Open	1					20	Narrikup	S2	28/07/2015	99
4/11/2015	20	Bud		1	1	1		60	Monti	S2	28/07/2015	99
4/11/2015	20	Early						0	Monti	S2	28/07/2015	99
4/11/2015	21	Bud						0	Woogenellup	S2	28/07/2015	99
4/11/2015	21	Early						0	Woogenellup	S2	28/07/2015	99
4/11/2015	22	Bud						0	Leura	S2	28/07/2015	99
4/11/2015	22	Early						0	Leura	S2	28/07/2015	99
4/11/2015	23	Bud						0	Denmark	S2	28/07/2015	99
4/11/2015	23	Early						0	Denmark	S2	28/07/2015	99
4/11/2015	24	Bud						0	Antas 	S2	28/07/2015	99
4/11/2015	24	Early	1		1			40	Antas 	S2	28/07/2015	99
4/11/2015	25	Bud						0	Leura	S2	28/07/2015	99
4/11/2015	25	Early						0	Leura	S2	28/07/2015	99
4/11/2015	26	Bud						0	Woogenellup	S2	28/07/2015	99
4/11/2015	26	Early						0	Woogenellup	S2	28/07/2015	99
4/11/2015	27	Bud						0	Denmark	S2	28/07/2015	99
4/11/2015	27	Early						0	Denmark	S2	28/07/2015	99
4/11/2015	28	Bud	1				1	40	Narrikup	S2	28/07/2015	99
4/11/2015	28	Early		1		1		40	Narrikup	S2	28/07/2015	99
4/11/2015	29	Bud	1				1	40	Antas 	S2	28/07/2015	99
4/11/2015	29	Early						0	Antas 	S2	28/07/2015	99
4/11/2015	30	Bud	1	1		1	1	80	Monti	S2	28/07/2015	99
4/11/2015	30	Early	1		1			40	Monti	S2	28/07/2015	99
4/11/2015	31	Bud						0	Denmark	S2	28/07/2015	99
4/11/2015	31	Early						0	Denmark	S2	28/07/2015	99
4/11/2015	32	Bud		1		1		40	Antas 	S2	28/07/2015	99
4/11/2015	32	Early						0	Antas 	S2	28/07/2015	99
4/11/2015	33	Bud			1		1	40	Monti	S2	28/07/2015	99
4/11/2015	33	Early	1	1				40	Monti	S2	28/07/2015	99
4/11/2015	34	Bud						0	Woogenellup	S2	28/07/2015	99
4/11/2015	34	Early						0	Woogenellup	S2	28/07/2015	99
4/11/2015	35	Bud						0	Leura	S2	28/07/2015	99
4/11/2015	35	Early						0	Leura	S2	28/07/2015	99
4/11/2015	36	Bud	1					20	Narrikup	S2	28/07/2015	99
4/11/2015	36	Early		1	1		1	60	Narrikup	S2	28/07/2015	99
9/11/2015	1	Bud	1	1	1		1	80	Antas 	S1	24/06/2015	138
9/11/2015	1	Early				1		20	Antas 	S1	24/06/2015	138
9/11/2015	1	Open		1	1	1		60	Antas 	S1	24/06/2015	138
9/11/2015	1	Petal	1					20	Antas 	S1	24/06/2015	138
9/11/2015	1	Bur1		1			1	40	Antas 	S1	24/06/2015	138
9/11/2015	1	Bur2						0	Antas 	S1	24/06/2015	138
9/11/2015	2	Bud			1	1		40	Monti	S1	24/06/2015	138
9/11/2015	2	Early	1	1				40	Monti	S1	24/06/2015	138
9/11/2015	2	Open		1		1	1	60	Monti	S1	24/06/2015	138
9/11/2015	2	Petal	1	1	1	1	1	100	Monti	S1	24/06/2015	138
9/11/2015	2	Bur1	1			1		40	Monti	S1	24/06/2015	138
9/11/2015	2	Bur2						0	Monti	S1	24/06/2015	138
9/11/2015	3	Bud	1		1	1	1	80	Denmark	S1	24/06/2015	138
9/11/2015	3	Early	1	1		1	1	80	Denmark	S1	24/06/2015	138
9/11/2015	3	Open	1	1	1		1	80	Denmark	S1	24/06/2015	138
9/11/2015	3	Petal	1	1	1	1	1	100	Denmark	S1	24/06/2015	138
9/11/2015	3	Bur1			1	1		40	Denmark	S1	24/06/2015	138
9/11/2015	3	Bur2						0	Denmark	S1	24/06/2015	138
9/11/2015	4	Bud	1	1		1		60	Leura	S1	24/06/2015	138
9/11/2015	4	Early			1		1	40	Leura	S1	24/06/2015	138
9/11/2015	4	Open	1	1		1	1	80	Leura	S1	24/06/2015	138
9/11/2015	4	Petal	1	1	1			60	Leura	S1	24/06/2015	138
9/11/2015	4	Bur1					1	20	Leura	S1	24/06/2015	138
9/11/2015	4	Bur2						0	Leura	S1	24/06/2015	138
9/11/2015	5	Bud	1	1	1	1	1	100	Narrikup	S1	24/06/2015	138
9/11/2015	5	Early						0	Narrikup	S1	24/06/2015	138
9/11/2015	5	Open	1	1		1	1	80	Narrikup	S1	24/06/2015	138
9/11/2015	5	Petal	1	1	1	1	1	100	Narrikup	S1	24/06/2015	138
9/11/2015	5	Bur1	1			1	1	60	Narrikup	S1	24/06/2015	138
9/11/2015	5	Bur2						0	Narrikup	S1	24/06/2015	138
9/11/2015	6	Bud	1		1	1	1	80	Woogenellup	S1	24/06/2015	138
9/11/2015	6	Early		1				20	Woogenellup	S1	24/06/2015	138
9/11/2015	6	Open	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	138
9/11/2015	6	Petal	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	138
9/11/2015	6	Bur1	1				1	40	Woogenellup	S1	24/06/2015	138
9/11/2015	6	Bur2						0	Woogenellup	S1	24/06/2015	138
9/11/2015	7	Bud	1	1	1	1	1	100	Antas 	S1	24/06/2015	138
9/11/2015	7	Early	1				1	40	Antas 	S1	24/06/2015	138
9/11/2015	7	Open	1	1	1	1	1	100	Antas 	S1	24/06/2015	138
9/11/2015	7	Petal	1	1			1	60	Antas 	S1	24/06/2015	138
9/11/2015	7	Bur1						0	Antas 	S1	24/06/2015	138
9/11/2015	7	Bur2						0	Antas 	S1	24/06/2015	138
9/11/2015	8	Bud		1	1	1	1	80	Woogenellup	S1	24/06/2015	138
9/11/2015	8	Early	1			1	1	60	Woogenellup	S1	24/06/2015	138
9/11/2015	8	Open	1	1	1	1		80	Woogenellup	S1	24/06/2015	138
9/11/2015	8	Petal	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	138
9/11/2015	8	Bur1			1		1	40	Woogenellup	S1	24/06/2015	138
9/11/2015	8	Bur2						0	Woogenellup	S1	24/06/2015	138
9/11/2015	9	Bud		1	1	1		60	Denmark	S1	24/06/2015	138
9/11/2015	9	Early	1			1	1	60	Denmark	S1	24/06/2015	138
9/11/2015	9	Open	1	1	1	1	1	100	Denmark	S1	24/06/2015	138
9/11/2015	9	Petal						0	Denmark	S1	24/06/2015	138
9/11/2015	9	Bur1						0	Denmark	S1	24/06/2015	138
9/11/2015	9	Bur2						0	Denmark	S1	24/06/2015	138
9/11/2015	10	Bud	1	1	1	1		80	Monti	S1	24/06/2015	138
9/11/2015	10	Early					1	20	Monti	S1	24/06/2015	138
9/11/2015	10	Open	1	1	1	1		80	Monti	S1	24/06/2015	138
9/11/2015	10	Petal	1	1	1	1	1	100	Monti	S1	24/06/2015	138
9/11/2015	10	Bur1	1	1		1	1	80	Monti	S1	24/06/2015	138
9/11/2015	10	Bur2						0	Monti	S1	24/06/2015	138
9/11/2015	11	Bud		1	1	1	1	80	Narrikup	S1	24/06/2015	138
9/11/2015	11	Early	1			1		40	Narrikup	S1	24/06/2015	138
9/11/2015	11	Open		1	1	1	1	80	Narrikup	S1	24/06/2015	138
9/11/2015	11	Petal	1	1	1	1	1	100	Narrikup	S1	24/06/2015	138
9/11/2015	11	Bur1						0	Narrikup	S1	24/06/2015	138
9/11/2015	11	Bur2						0	Narrikup	S1	24/06/2015	138
9/11/2015	12	Bud	1		1	1	1	80	Leura	S1	24/06/2015	138
9/11/2015	12	Early		1				20	Leura	S1	24/06/2015	138
9/11/2015	12	Open	1		1	1	1	80	Leura	S1	24/06/2015	138
9/11/2015	12	Petal			1		1	40	Leura	S1	24/06/2015	138
9/11/2015	12	Bur1					1	20	Leura	S1	24/06/2015	138
9/11/2015	12	Bur2						0	Leura	S1	24/06/2015	138
9/11/2015	13	Bud						0	Woogenellup	S1	24/06/2015	138
9/11/2015	13	Early						0	Woogenellup	S1	24/06/2015	138
9/11/2015	13	Open	1	1	1	1	1	100	Woogenellup	S1	24/06/2015	138
9/11/2015	13	Petal	1	1	1		1	80	Woogenellup	S1	24/06/2015	138
9/11/2015	13	Bur1	1					20	Woogenellup	S1	24/06/2015	138
9/11/2015	13	Bur2						0	Woogenellup	S1	24/06/2015	138
9/11/2015	14	Bud			1	1	1	60	Antas 	S1	24/06/2015	138
9/11/2015	14	Early	1	1	1		1	80	Antas 	S1	24/06/2015	138
9/11/2015	14	Open	1		1	1	1	80	Antas 	S1	24/06/2015	138
9/11/2015	14	Petal		1				20	Antas 	S1	24/06/2015	138
9/11/2015	14	Bur1						0	Antas 	S1	24/06/2015	138
9/11/2015	14	Bur2						0	Antas 	S1	24/06/2015	138
9/11/2015	15	Bud				1	1	40	Monti	S1	24/06/2015	138
9/11/2015	15	Early	1	1	1		1	80	Monti	S1	24/06/2015	138
9/11/2015	15	Open		1		1	1	60	Monti	S1	24/06/2015	138
9/11/2015	15	Petal	1	1	1	1	1	100	Monti	S1	24/06/2015	138
9/11/2015	15	Bur1	1	1	1	1		80	Monti	S1	24/06/2015	138
9/11/2015	15	Bur2						0	Monti	S1	24/06/2015	138
9/11/2015	16	Bud			1			20	Narrikup	S1	24/06/2015	138
9/11/2015	16	Early		1		1	1	60	Narrikup	S1	24/06/2015	138
9/11/2015	16	Open	1	1				40	Narrikup	S1	24/06/2015	138
9/11/2015	16	Petal		1	1	1	1	80	Narrikup	S1	24/06/2015	138
9/11/2015	16	Bur1	1	1	1	1		80	Narrikup	S1	24/06/2015	138
9/11/2015	16	Bur2						0	Narrikup	S1	24/06/2015	138
9/11/2015	17	Bud	1	1	1	1	1	100	Denmark	S1	24/06/2015	138
